time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-30T05:20:57.800Z,-55.1741,-30.7631,32.68,4.7,mb,,75,3.437,0.87,us,us10007npb,2016-12-30T06:59:56.040Z,"280km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,5.9,5.1,0.094,34,reviewed,us,us
2016-12-30T03:40:24.523Z,61.0942,-152.6034,131.5,2.6,ml,,,,0.52,ak,ak14844317,2016-12-30T03:58:29.002Z,"68km N of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
2016-12-30T03:19:49.624Z,60.1011,-152.8056,110.1,3.4,ml,,,,0.6,ak,ak14844291,2016-12-30T03:38:32.300Z,"42km S of Redoubt Volcano, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-12-30T03:15:25.367Z,38.3626,-118.9052,9.5,2.9,ml,37,54.35,0.145,0.2248,nn,nn00571375,2016-12-30T07:59:14.081Z,"30km SW of Hawthorne, Nevada",earthquake,,1.5,0.37,25,reviewed,nn,nn
2016-12-30T03:12:48.930Z,36.1709,-97.3071,2.01,2.5,mb_lg,,27,0.106,0.23,us,us10007nnh,2016-12-30T16:27:56.920Z,"13km S of Perry, Oklahoma",earthquake,1.1,7.9,0.111,21,reviewed,us,us
2016-12-30T02:58:17.190Z,-33.763,-177.9908,58.74,5,mb,,72,4.842,0.67,us,us10007nnf,2016-12-30T03:16:47.040Z,"272km SSE of L'Esperance Rock, New Zealand",earthquake,13.5,7.6,0.129,19,reviewed,us,us
2016-12-30T01:53:22.790Z,29.3961,139.4511,391.24,4.6,mb,,79,3.326,0.5,us,us10007nn0,2016-12-30T02:10:47.040Z,"Izu Islands, Japan region",earthquake,6.9,6.8,0.036,234,reviewed,us,us
2016-12-30T01:48:15.210Z,19.4004993,-155.4313354,5.67,2.57,ml,46,35,0.03738,0.21,hv,hv61538646,2016-12-30T01:53:55.780Z,"20km W of Volcano, Hawaii",earthquake,0.3,1.13,0.36,3,automatic,hv,hv
2016-12-30T00:30:51.400Z,24.7947,122.0615,75.26,4.3,mb,,53,0.542,0.67,us,us10007nma,2016-12-30T00:59:37.040Z,"30km NE of Su'ao, Taiwan",earthquake,4.3,4.8,0.133,16,reviewed,us,us
2016-12-29T23:18:41.810Z,35.6759,-97.411,8.03,2.6,mb_lg,,33,0.094,0.36,us,us10007nlt,2016-12-30T16:28:25.121Z,"6km ENE of Edmond, Oklahoma",earthquake,0.9,3.5,0.117,19,reviewed,us,us
2016-12-29T23:06:04.940Z,36.8215,-97.7591,3.21,2.6,mb_lg,,35,0.086,0.37,us,us10007nln,2016-12-29T23:57:04.040Z,"2km NW of Medford, Oklahoma",earthquake,1.1,7.2,0.111,21,reviewed,us,us
2016-12-29T22:30:18.360Z,-9.0665,118.6088,72.27,6.2,mwp,,26,3.611,1.52,us,us10007nl0,2016-12-30T14:42:03.855Z,"33km S of Tolotangga, Indonesia",earthquake,4.4,5.1,0.031,142,reviewed,us,us
2016-12-29T18:22:26.350Z,-8.6825,-74.6877,146.45,4.2,mb,,101,2.179,1.5,us,us10007nk1,2016-12-29T21:42:24.040Z,"26km SSE of Campoverde, Peru",earthquake,8.2,10.7,0.152,12,reviewed,us,us
2016-12-29T18:08:47.000Z,36.0470009,-120.6115036,8.06,2.51,md,56,46,0.02505,0.08,nc,nc72745710,2016-12-29T18:51:05.737Z,"24km WSW of Coalinga, California",earthquake,0.19,0.31,0.12,45,automatic,nc,nc
2016-12-29T17:33:18.490Z,-5.3565,153.0181,48.25,4.9,mb,,94,1.437,0.77,us,us10007njw,2016-12-29T21:36:52.040Z,"98km S of Taron, Papua New Guinea",earthquake,5.4,7.3,0.066,71,reviewed,us,us
2016-12-29T13:42:27.270Z,-32.9684,-179.0553,42.8,4.7,mb,,189,5.065,1.12,us,us10007njd,2016-12-29T15:59:02.040Z,"170km S of L'Esperance Rock, New Zealand",earthquake,12.7,11.6,0.142,15,reviewed,us,us
2016-12-29T12:58:33.803Z,68.7375,-149.1564,15.3,2.7,ml,,,,0.6,ak,ak14832867,2016-12-29T13:17:53.158Z,"124km ENE of Anaktuvuk Pass, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-12-29T11:41:50.677Z,36.2846,-115.4212,8.2,2.8,ml,35,47.39,0.222,0.21,nn,nn00571218,2016-12-30T20:35:32.971Z,"20km N of Summerlin South, Nevada",earthquake,,1.5,0.28,19,reviewed,nn,nn
2016-12-29T11:28:53.200Z,18.597,-67.2539,79,3.1,Md,12,190.8,0.18595126,0.07,pr,pr16364000,2016-12-29T11:53:28.660Z,"20km NW of San Antonio, Puerto Rico",earthquake,0.5,0.6,0,12,reviewed,pr,pr
2016-12-29T08:50:21.230Z,-33.6861,-71.5675,43.59,4.4,mb,,103,0.048,0.5,us,us10007ni7,2016-12-29T19:22:15.409Z,"11km SSE of San Antonio, Chile",earthquake,3.6,5.8,0.162,11,reviewed,us,us
2016-12-29T08:31:06.770Z,-21.6224,-68.423,119.03,4.6,mb,,32,0.78,0.59,us,us10007ni1,2016-12-29T09:33:58.040Z,"107km NNE of Calama, Chile",earthquake,5,6,0.044,150,reviewed,us,us
2016-12-29T08:20:03.553Z,62.5707,-149.3515,34.8,3,ml,,,,0.68,ak,ak14829369,2016-12-29T08:35:48.670Z,"47km NE of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-12-29T04:54:20.378Z,38.3745,-118.9051,7.3,2.5,ml,27,56.05,0.137,0.1778,nn,nn00571156,2016-12-30T02:36:10.723Z,"29km SW of Hawthorne, Nevada",earthquake,,2.3,0.32,16,reviewed,nn,nn
2016-12-29T04:22:03.426Z,56.5959,-156.144,52.4,3,ml,,,,0.62,ak,ak14825134,2016-12-29T06:10:28.862Z,"91km NNW of Chirikof Island, Alaska",earthquake,,2.9,,,automatic,ak,ak
