RelTime(mins),Distance(mi),Depth(km),Mag
7643,6707.94,22.72,4.6
7664,5311.54,197.34,4.5
7682,5439.12,305.08,5.5
7830,1222.21,5.0,3.4
7946,5388.17,61.26,4.6
7957,5297.08,225.52,4.1
7998,8671.04,85.86,5.7
8005,6770.8,13.05,4.6
8043,1922.11,10.0,4.4
8059,6101.19,10.0,4.6
8077,6104.74,10.42,4.6
8198,5864.3,112.08,4.6
8293,2194.22,28.5,2.9
8307,2356.43,23.4,2.6
8353,6718.81,10.0,4.2
8353,6628.12,20.42,4.6
8367,3506.96,9.0,2.7
8405,2414.95,35.546,3.27
8445,8372.58,10.0,4.8
8467,589.0,4.54,3.24
8534,3531.53,12.0,2.7
8561,2443.1,41.136,3.06
8601,563.62,9.62,2.87
8628,3524.23,15.0,2.9
8787,3471.64,74.0,3.3
8836,2329.21,7.0,2.8
8850,2357.44,2.8,3.0
8878,5133.4,10.0,5.6
8920,831.97,11.2,2.51
8921,6717.51,18.03,4.1
8962,2569.21,20.04,3.9
9014,6705.26,10.0,4.6
9036,3224.89,8.0,2.9
9079,5127.02,120.93,4.1
9155,6696.96,11.81,4.9
9204,6700.28,19.8,4.4
9249,6766.07,10.62,4.5
9282,487.58,20.82,3.11
9294,2498.3,51.46,3.1
9301,2059.8,79.82,4.6
9325,7421.99,194.24,4.2
9356,6738.41,9.43,4.1
9363,6755.71,11.75,4.2
9386,7503.34,190.23,5.3
9433,6703.61,16.45,4.5
9463,509.15,37.41,2.9
9506,6750.48,11.3,4.5
9512,4538.86,172.01,4.4
9516,6706.2,21.94,4.0
9518,8542.95,10.0,5.0
9529,2421.22,9.68,2.87
9574,250.7,2.41,2.95
9578,2803.94,25.5,2.8
9587,8839.87,99.35,4.3
9597,9374.78,10.0,5.2
9613,515.94,3.5,2.6
9624,1304.54,5.0,3.0
9696,2608.99,51.8,3.5
9744,2512.71,187.3,3.1
9806,3223.03,7.3,2.5
9818,2563.75,46.6,2.5
9936,2482.32,25.7,2.7
9939,3229.76,12.2,3.0
9958,6745.15,10.0,5.4
9972,3064.89,24.5,2.6
10004,3227.08,17.2,3.3
10009,3227.42,15.5,3.6
10011,2334.38,157.1,3.6
10011,3224.95,43.86,4.9
10027,1213.7,5.0,2.5
10039,6753.38,21.5,5.1
10093,3063.17,73.1,2.7
10096,6753.64,10.0,5.1
10122,220.99,5.78,2.56
10129,221.03,5.94,2.73
10142,2373.01,41.9,3.3
10209,221.17,5.71,2.83
10218,7863.56,33.97,4.6
10227,1305.51,5.0,2.5
10245,6706.03,11.24,4.8
10254,6705.96,10.0,5.4
10301,7640.35,179.21,4.2
10318,2358.07,11.1,2.7
10364,314.94,14.75,2.53
10398,3223.11,15.8,2.9
10414,2373.52,16.33,5.2
10461,1280.55,5.548,2.6
10467,2471.09,8.4,3.1
10468,5027.89,51.01,4.6
10496,3214.46,11.2,2.8
10556,2361.0,12.3,4.2
10574,6748.92,20.18,4.4
10580,6696.63,7.91,4.2
10584,6786.71,10.0,4.4
10592,2486.02,21.06,3.7
10599,6335.44,10.0,4.1
10601,2392.84,127.8,2.5
10608,2489.49,25.9,4.5
10622,6732.36,10.0,4.0
10631,6744.15,14.6,4.9
10661,6746.19,10.0,4.4
10664,6727.86,18.42,4.4
10681,2286.46,76.9,2.5
10687,1186.77,5.499,2.5
10695,6764.46,10.0,4.1
10748,6705.79,16.43,4.2
10767,6706.3,10.0,4.2
10769,3088.94,13.2,2.9
10771,6706.63,17.05,4.0
10813,5345.91,50.48,5.0
10834,6786.2,10.0,4.9
10866,6709.24,10.0,4.5
10880,2528.26,21.0,2.7
10881,1187.94,5.0,2.6
10884,5335.17,21.27,4.2
10891,3227.62,13.8,2.7
10901,1307.48,5.0,2.5
10907,1307.09,5.0,3.5
10913,6767.63,22.93,4.1
10919,7614.16,94.65,4.0
10920,2295.07,41.4,3.1
10933,6725.46,5.76,4.3
10949,4153.69,120.2,4.4
10955,1257.14,5.94,2.5
10958,6693.27,22.79,4.3
10967,1178.57,5.0,2.6
10987,6704.13,17.4,4.8
10994,7451.38,98.26,4.7
10996,3237.84,67.7,2.7
11006,5078.26,103.6,4.0
11023,3229.43,13.2,2.6
11052,3227.7,13.7,2.7
11055,3225.45,40.83,4.5
11065,6757.81,20.15,4.6
11085,3226.14,12.1,2.8
11104,6742.74,10.0,4.3
11112,902.15,10.0,4.9
11114,6705.76,15.48,4.7
11118,2250.31,8.7,2.5
11119,3222.66,20.9,3.4
11176,2998.13,60.57,4.9
11269,5413.89,570.78,4.8
11274,3228.85,16.0,3.3
11276,189.28,-0.36,2.59
11323,2300.57,52.4,3.6
11335,5191.19,10.0,4.8
11347,6705.6,20.24,5.3
11348,1935.99,5.7,2.7
11381,6748.54,14.83,5.8
11385,6706.65,8.75,5.1
11394,3227.69,13.3,2.9
11425,6616.97,105.51,4.5
11472,6763.61,23.52,4.8
11501,3227.41,17.2,2.9
11538,6730.7,10.0,4.5
11543,6750.66,10.0,4.5
11568,6702.25,10.0,4.5
11622,3226.94,19.6,3.0
11623,3226.52,10.8,3.0
11633,3226.69,7.2,3.1
11634,7126.11,49.18,4.0
11642,3222.76,17.3,2.8
11645,3224.28,29.3,3.0
11650,2355.93,6.1,2.8
11652,3227.95,14.3,3.0
11653,3228.58,13.1,3.1
11655,3229.81,12.2,4.7
11656,3223.74,35.0,5.4
11661,6778.15,17.31,4.0
11661,7204.33,44.88,4.4
11688,3418.3,13.0,2.8
11689,1864.25,1.5,2.8
11695,6339.33,10.0,4.1
11698,6751.59,10.0,5.4
11700,6733.02,10.0,5.2
11754,6781.24,10.0,6.5
11766,489.47,25.38,2.95
11772,2568.67,75.9,2.5
11792,7269.87,126.26,4.7
11793,6702.25,13.21,4.6
11799,6699.09,10.0,5.2
11831,6738.92,11.92,5.0
11862,223.29,11.67,2.57
11889,6779.89,10.0,5.1
11910,3502.75,5.0,3.0
11911,6749.33,10.0,4.2
11976,6509.63,65.17,5.3
12006,6747.71,10.0,4.9
12014,6747.77,10.0,4.9
12050,6701.96,10.0,4.6
12060,6701.72,8.0,5.7
12089,6743.69,10.0,5.1
12090,3498.52,59.0,2.9
12099,6725.84,10.0,4.7
12113,2555.09,60.0,2.9
12114,6714.9,10.0,4.8
12129,3504.1,7.0,2.5
12132,6785.61,10.0,4.9
12138,6801.33,10.0,4.5
12156,5665.46,128.98,5.1
12176,2499.3,14.6,2.5
12191,6758.39,10.0,5.2
12215,6707.17,14.97,4.6
12245,6723.42,13.79,4.3
12260,6775.55,17.87,4.4
12270,6705.39,13.07,4.5
12286,6309.45,19.13,5.1
12295,6709.39,11.71,5.1
12338,5371.44,20.53,4.8
12370,7510.47,147.64,4.5
12373,6721.32,10.0,4.2
12387,5531.55,110.24,5.7
12398,6703.04,10.33,5.2
12417,6752.15,8.29,6.2
12422,1229.96,5.0,2.5
12427,6710.71,10.0,5.3
12436,6719.74,20.92,4.9
12438,3189.28,131.1,3.3
12456,6751.46,4.92,4.9
12470,6704.8,19.4,5.2
12471,6769.48,10.0,5.2
12471,5053.39,97.12,4.7
12478,2553.97,8.4,2.6
12483,6804.45,9.58,5.2
12488,6761.31,10.46,4.9
12504,6693.71,13.67,5.0
12516,6751.13,16.04,6.1
12527,6713.28,10.0,5.7
12536,6752.97,10.0,6.5
12540,2389.79,117.6,3.1
12556,6758.02,10.37,5.8
12564,5501.91,10.0,4.9
12566,6796.9,23.0,7.8
12765,5254.66,545.67,4.4
12878,2359.56,10.5,2.6
12887,3402.25,25.0,3.2
12891,3426.03,3.0,2.7
12935,5449.14,28.61,4.5
12940,969.48,7.97,3.06
12997,5350.64,525.96,4.5
13018,2908.1,20.8,3.6
13099,3268.87,14.3,4.8
13151,3229.39,17.9,2.5
13162,2357.93,12.8,3.4
13162,3401.06,27.0,3.5
13164,513.51,10.4,2.5
13167,5497.77,121.05,5.7
13173,5682.07,490.46,4.6
13198,2356.49,14.0,3.3
13305,5247.55,18.22,4.6
13313,2929.23,138.3,4.2
13341,2349.8,3.1,2.9
13347,2366.04,15.0,2.5
13356,2359.67,10.3,5.2
13401,9074.44,42.23,4.6
13417,3061.84,10.0,4.2
13425,1251.61,7.999,2.5
13448,2552.89,59.6,2.8
13460,3070.25,10.0,5.0
13495,2551.19,50.0,2.8
13553,2273.78,66.3,3.1
13669,1297.99,2.82,2.6
13693,5744.49,564.95,5.5
13785,6346.56,10.0,4.6
13917,5266.55,535.73,4.8
13947,2319.03,14.6,2.5
14019,2481.55,32.9,3.0
14061,2484.72,25.6,2.7
14181,1301.03,1.1,2.7
14190,2308.98,5.1,2.9
14253,2314.95,42.9,2.6
14308,3001.01,12.25,4.4
14357,2281.99,56.6,3.1
14369,3503.77,7.0,2.9
14384,3504.14,4.0,2.9
14390,5282.03,204.42,4.4
14463,3503.05,3.0,3.3
14471,3502.76,2.0,3.0
14476,2387.96,123.3,2.8
14490,1259.95,5.0,2.5
14493,1260.02,5.0,2.5
14532,2519.58,74.1,2.6
14533,6595.71,58.15,4.4
14572,2404.0,4.737,2.83
14631,2424.91,5.1,2.73
14668,3287.36,130.0,3.7
14680,3418.71,20.0,2.5
14693,5623.04,574.09,4.2
14703,2406.62,6.571,3.25
14718,3515.52,4.0,2.6
14763,6708.53,30.03,4.9
14764,3504.86,3.0,2.7
14805,5213.83,44.83,6.2
14814,3313.58,93.0,3.0
14829,3502.71,2.0,2.8
14934,7425.39,49.96,4.2
14957,536.25,9.62,2.85
14972,3502.07,6.0,2.9
15000,3502.38,3.0,2.9
15026,3503.89,7.0,2.5
15076,7326.1,12.22,4.7
15159,1284.1,6.4,3.0
15167,3108.95,13.6,2.8
15168,1939.49,8.8,3.0
15197,3503.89,3.0,3.0
15215,3502.99,3.0,2.9
15215,4183.84,144.82,5.1
15236,3503.67,2.0,2.7
15237,3503.77,5.0,4.0
15278,3478.05,125.0,2.7
15279,342.06,0.55,3.33
15371,5592.54,355.34,4.1
15436,1238.72,7.41,3.0
15440,244.17,16.06,2.59
15451,7691.33,10.0,4.7
15473,2437.52,4.8,2.5
15496,2271.19,46.2,2.6
15574,1224.35,7.3,3.3
15600,723.48,2.11,2.6
15600,7448.84,76.75,4.4
15615,3401.32,97.52,5.2
15627,3421.08,33.0,3.1
15683,4318.68,199.08,4.6
15815,5588.06,348.15,4.7
15818,3368.5,7.0,2.7
15846,1224.57,5.0,2.6
15979,2307.66,88.4,2.5
16064,1289.61,8.33,2.5
16082,8771.13,35.0,5.1
16097,3229.7,11.9,2.9
16097,5542.26,30.1,4.1
16100,1297.89,3.93,2.9
